customer_id,company_name,industry,segment,country,signup_date,acquisition_channel,account_manager
CUST0027,Brown and Sons,HealthTech,SMB,USA,2023-08-27,Organic,Joshua Howell
CUST0028,Adams-Ellis,FinTech,Mid-Market,Ireland,2024-04-10,Paid Search,Terri Leon
CUST0029,Washington PLC,SaaS,Mid-Market,USA,2024-08-20,Partner,Ryan Crawford
CUST0030,"Roy, Sawyer and Wilson",SaaS,SMB,USA,2024-07-24,Outbound,Jason Mccullough
CUST0031,"Norris, Wood and Mullen",FinTech,Enterprise,USA,2023-10-30,Organic,Aaron Fleming
CUST0032,"Sharp, Morgan and Lucas",Logistics,Mid-Market,Germany,2023-03-30,Referral,William Farmer
CUST0033,Nguyen LLC,SaaS,SMB,Ireland,2024-08-12,Organic,Austin Adams
CUST0034,Anderson-Hill,EdTech,Enterprise,UK,2023-10-12,Outbound,Valerie May
CUST0035,"May, Middleton and Castillo",Logistics,Mid-Market,France,2023-11-16,Referral,Michelle Newman
CUST0036,Marshall Ltd,Logistics,Mid-Market,USA,2023-08-05,Paid Search,Melissa James
CUST0037,Bowen LLC,HealthTech,SMB,USA,2023-11-15,Outbound,Kimberly Mullins
CUST0038,Brown Inc,Logistics,Enterprise,UK,2023-11-19,Organic,Russell Burns
CUST0039,Diaz-Jackson,E-Commerce,SMB,Germany,2023-11-21,Referral,Karl Morgan
CUST0040,Edwards-Hayes,HealthTech,SMB,Germany,2024-11-30,Organic,Kimberly Rosales
CUST0041,Vazquez-Kent,SaaS,SMB,Germany,2024-09-06,Outbound,Monica Reynolds
CUST0042,Anderson-King,HealthTech,Mid-Market,USA,2023-11-10,Outbound,Megan King
CUST0043,Miles-Owens,Logistics,SMB,Germany,2024-06-29,Partner,Joanne Adams
CUST0044,"Santiago, Perez and Proctor",Logistics,Enterprise,Germany,2023-11-02,Paid Search,Andrew Silva
CUST0045,"Clark, Williams and Hughes",SaaS,Mid-Market,France,2024-11-23,Referral,Matthew Miller
CUST0046,"Smith, Turner and Carlson",Logistics,SMB,USA,2024-07-02,Paid Search,Mario Howell
CUST0047,"Peters, Barker and Cross",E-Commerce,SMB,Ireland,2024-07-31,Outbound,Todd Thomas
CUST0048,Mitchell-Hudson,HealthTech,SMB,Ireland,2024-09-10,Organic,Brian Townsend
CUST0049,English Group,FinTech,SMB,Germany,2023-09-18,Organic,Lorraine Smith
CUST0050,Neal-Horton,E-Commerce,Mid-Market,USA,2024-01-13,Paid Search,Matthew Ashley
CUST0051,Reese Ltd,EdTech,Mid-Market,France,2024-12-16,Outbound,Judy House
CUST0052,Roberts-Miles,HealthTech,Mid-Market,Germany,2023-07-18,Partner,Christopher Strickland
CUST0053,"Thomas, Walker and Mcintyre",FinTech,SMB,USA,2024-03-05,Referral,Kathryn Howard
CUST0054,"Stephens, Thompson and Love",SaaS,SMB,Germany,2023-03-24,Organic,Jessica Robertson
CUST0055,"Suarez, Smith and Navarro",EdTech,Mid-Market,Ireland,2024-04-18,Partner,Sean Thompson
CUST0056,"Young, Wells and Wright",FinTech,Mid-Market,UK,2023-04-12,Paid Search,Laura Stevens
CUST0057,"Wilson, Brown and Gonzalez",HealthTech,Mid-Market,UK,2023-01-17,Referral,Mr. Charles Caldwell
CUST0058,Rodgers and Sons,FinTech,SMB,UK,2023-09-04,Outbound,Melissa Cruz
CUST0059,Richardson Inc,EdTech,SMB,France,2023-11-27,Organic,Anthony Buckley
CUST0060,Mills-Russell,HealthTech,Enterprise,Ireland,2024-07-17,Partner,John Jones
CUST0061,Chen PLC,SaaS,SMB,France,2024-07-27,Paid Search,Karen Richard
CUST0062,Gregory Group,SaaS,SMB,UK,2024-01-10,Partner,Elizabeth Velez
CUST0063,Ryan-Maldonado,EdTech,SMB,France,2024-03-10,Outbound,Zachary Perez
CUST0064,"Henderson, Rodriguez and Whitney",SaaS,Mid-Market,Ireland,2024-02-11,Referral,Brian Arnold
CUST0065,Powell Inc,FinTech,SMB,USA,2023-04-09,Outbound,Jessica Molina
CUST0066,Miller Ltd,E-Commerce,SMB,Ireland,2023-10-10,Outbound,Diamond Robbins
CUST0067,Byrd-Maxwell,Logistics,SMB,Ireland,2024-12-25,Outbound,Patricia Cruz
CUST0068,Grant-Smith,HealthTech,SMB,Ireland,2024-09-21,Organic,Kelsey Thompson
CUST0069,Glass PLC,HealthTech,Mid-Market,UK,2023-10-11,Outbound,Dr. Dana Lee
CUST0070,"Sims, Kim and Mays",Logistics,SMB,Ireland,2023-05-16,Organic,Brian Morgan DDS
CUST0071,"Green, Newman and Allen",Logistics,SMB,USA,2024-08-04,Referral,Rebecca Mills
CUST0072,Leach-Fisher,HealthTech,Enterprise,USA,2023-03-01,Referral,Courtney Gray
CUST0073,Osborne Ltd,SaaS,SMB,Ireland,2024-11-09,Referral,Tracy Hart
CUST0074,"Gonzales, Barnes and Jensen",FinTech,SMB,Ireland,2023-02-09,Outbound,Michelle Harris
CUST0075,"Beck, Nguyen and Tucker",FinTech,Enterprise,Ireland,2023-08-05,Paid Search,Emily Richardson
CUST0076,Sullivan PLC,HealthTech,Mid-Market,France,2024-09-23,Organic,Susan Ross
CUST0077,Davis Ltd,E-Commerce,Enterprise,UK,2023-06-20,Partner,Charles Taylor
CUST0078,Spencer-Lane,EdTech,Mid-Market,UK,2023-01-25,Outbound,Chad Schmidt
CUST0079,"Tate, Jones and Mcneil",Logistics,SMB,UK,2023-09-15,Organic,Joshua Cross
CUST0080,"Conner, Nixon and Gonzalez",HealthTech,Enterprise,UK,2023-08-08,Organic,Matthew Duran
CUST0081,"Butler, Williams and Berg",HealthTech,Mid-Market,UK,2024-08-02,Outbound,Gary Boone
CUST0082,"Maynard, Terry and Johnson",E-Commerce,SMB,UK,2024-05-04,Referral,Angel Meyer
CUST0083,"Cannon, Scott and Johnson",E-Commerce,Mid-Market,France,2024-05-09,Organic,Michael Brown
CUST0084,"Brown, Rubio and Bell",SaaS,SMB,Germany,2023-12-31,Organic,Samuel Reed
CUST0085,Bradshaw and Sons,HealthTech,SMB,USA,2024-07-23,Referral,Todd Wiggins
CUST0086,"Boyd, Mills and Gonzales",SaaS,SMB,USA,2024-01-02,Partner,Angela Carter
CUST0087,"Elliott, Wilson and Mason",FinTech,Mid-Market,Ireland,2023-09-29,Paid Search,Crystal Lewis
CUST0088,Long-Arroyo,E-Commerce,Mid-Market,USA,2024-09-06,Paid Search,Edward Evans
CUST0089,Wheeler Inc,FinTech,SMB,UK,2024-07-27,Organic,Ryan Garcia
CUST0090,Griffin Group,HealthTech,Enterprise,USA,2023-08-27,Organic,Gina Waters
CUST0091,Gonzalez LLC,Logistics,SMB,Germany,2024-03-08,Partner,Eileen Johnson
CUST0092,Brown-Phillips,EdTech,Enterprise,Ireland,2023-12-21,Paid Search,Janice Reynolds
CUST0093,"Drake, Shaw and Miller",HealthTech,Enterprise,Germany,2023-11-11,Organic,Elizabeth Conley
CUST0094,Harrell PLC,E-Commerce,SMB,Germany,2023-09-19,Partner,Jennifer Knight
CUST0095,Bell-Jones,EdTech,Mid-Market,Germany,2023-11-06,Referral,Corey Murphy
CUST0096,"Williams, Christensen and Chung",EdTech,SMB,Ireland,2023-12-02,Organic,Eric Torres
CUST0097,"Fox, Huerta and Chung",HealthTech,Enterprise,Ireland,2023-03-29,Partner,Kim Oconnor
CUST0098,"Rosales, Douglas and Tate",HealthTech,SMB,UK,2023-11-11,Paid Search,Candace Pratt
CUST0099,Long-Tucker,E-Commerce,SMB,Germany,2023-08-28,Referral,Michelle Ritter
CUST0100,"Ruiz, Barron and Webb",Logistics,SMB,UK,2024-12-01,Outbound,Jill Sanchez
CUST0101,"Thompson, Schmidt and Patterson",FinTech,SMB,Ireland,2024-07-04,Referral,Carlos Martinez
CUST0102,"Schwartz, Williams and Harper",E-Commerce,SMB,Ireland,2024-05-14,Outbound,Paula Patterson
CUST0103,"Green, Jones and Walter",EdTech,SMB,Germany,2023-08-21,Partner,Hannah Padilla
CUST0104,Smith-Shannon,Logistics,Mid-Market,Ireland,2023-08-19,Outbound,Mallory Lowe
CUST0105,"Rose, Lane and Johnson",FinTech,SMB,USA,2024-12-15,Organic,Kelly Moon
CUST0106,Pearson PLC,Logistics,Mid-Market,USA,2024-12-16,Paid Search,Christine Robinson
CUST0107,Acosta PLC,FinTech,SMB,France,2024-04-26,Referral,Melissa Barnett
CUST0108,"Smith, Reyes and Diaz",EdTech,Mid-Market,Germany,2024-01-13,Referral,Ryan Rios
CUST0109,Hoffman PLC,EdTech,Mid-Market,UK,2023-07-03,Partner,Mary Yu DDS
CUST0110,Thomas PLC,Logistics,Mid-Market,Ireland,2024-04-19,Partner,Richard Young
CUST0111,Perez-Harper,SaaS,Mid-Market,USA,2024-08-18,Paid Search,Michael Stevenson
CUST0112,Bailey Inc,E-Commerce,Mid-Market,UK,2023-07-13,Organic,Ashley Carter
CUST0113,"Ward, Perkins and Jennings",HealthTech,SMB,UK,2023-05-08,Outbound,Sheila Farrell
CUST0114,"Dougherty, Salazar and Christian",E-Commerce,Mid-Market,USA,2024-08-14,Partner,Jacob Jennings
CUST0115,Montgomery PLC,Logistics,Mid-Market,USA,2023-03-30,Paid Search,Jordan Ashley
CUST0116,"Saunders, Carpenter and Zavala",E-Commerce,Mid-Market,USA,2024-07-05,Outbound,Crystal Romero
CUST0117,Miller Group,HealthTech,SMB,USA,2023-01-25,Paid Search,Christine Stevenson
CUST0118,"Black, Collins and Ramos",HealthTech,Mid-Market,Ireland,2024-01-16,Paid Search,Alisha Baker
CUST0119,"Green, Hudson and Higgins",Logistics,Enterprise,Germany,2024-04-01,Organic,Kayla Lewis
CUST0120,"Harrison, Boyle and Martin",EdTech,SMB,USA,2024-06-05,Partner,Donna Holmes MD
CUST0121,Moore Group,HealthTech,SMB,Ireland,2023-01-11,Organic,Stephanie Cain
CUST0122,"Schneider, Spencer and Bruce",FinTech,Enterprise,Germany,2023-06-16,Paid Search,Lisa Mayer
CUST0123,Morris Inc,EdTech,SMB,USA,2024-02-27,Organic,Amanda Stevens
CUST0124,"Fisher, Smith and Robles",FinTech,Mid-Market,USA,2023-08-14,Partner,Michael Fitzgerald
CUST0125,Parker-Gaines,Logistics,Mid-Market,USA,2024-06-17,Partner,Taylor Johnson
CUST0126,"Myers, Roman and King",EdTech,Mid-Market,Germany,2024-06-05,Partner,Dr. Jacqueline Berry
CUST0127,"Harris, Nguyen and Wagner",Logistics,Mid-Market,UK,2024-11-12,Paid Search,Joan Rodriguez
CUST0128,Arnold-Porter,SaaS,Mid-Market,USA,2024-08-06,Paid Search,Marcus Ray
CUST0129,Dorsey-Weiss,E-Commerce,Mid-Market,Germany,2024-06-02,Outbound,Christine Taylor
CUST0130,Wilkerson-Rasmussen,HealthTech,SMB,UK,2024-02-23,Organic,Traci Ramsey
CUST0131,Cantrell LLC,HealthTech,Mid-Market,UK,2023-09-24,Referral,Rachael Barton
CUST0132,Brown-Morales,FinTech,Enterprise,Ireland,2023-11-25,Paid Search,Jamie Mitchell
CUST0133,"Lewis, Miller and Davis",HealthTech,SMB,USA,2023-07-18,Organic,Jose Saunders
CUST0134,"Franklin, Cook and Miller",E-Commerce,SMB,USA,2023-01-15,Partner,Rebecca Bean
CUST0135,Hicks-Russell,SaaS,SMB,UK,2024-05-11,Outbound,Tanner Howell
CUST0136,Torres Ltd,FinTech,Enterprise,Germany,2024-10-04,Outbound,Mary Reese
CUST0137,Quinn LLC,FinTech,SMB,France,2024-03-09,Referral,Laura Sanders
CUST0138,Joseph Inc,SaaS,Mid-Market,USA,2024-12-24,Outbound,Molly Cervantes
CUST0139,"Brown, Diaz and Miller",HealthTech,Mid-Market,USA,2024-03-01,Referral,Monica Castro
CUST0140,"Franco, Carter and Carpenter",FinTech,SMB,UK,2023-12-05,Partner,Eric Boyd
CUST0141,Castillo-Martinez,SaaS,Mid-Market,France,2023-02-17,Outbound,Jessica Beard
CUST0142,Williams-Bishop,SaaS,Mid-Market,USA,2023-08-22,Organic,Karina Lynch
CUST0143,Porter-Scott,SaaS,SMB,Ireland,2023-01-18,Partner,Susan Cantrell
CUST0144,Anderson LLC,E-Commerce,SMB,UK,2023-06-04,Paid Search,Paul Anderson DVM
CUST0145,Cook-Henry,E-Commerce,SMB,Germany,2023-01-17,Partner,April Rose
CUST0146,Ramirez Group,SaaS,SMB,UK,2023-11-01,Organic,Jessica Krueger
CUST0147,"Friedman, Yates and Holloway",EdTech,SMB,USA,2023-04-18,Referral,Teresa Khan
CUST0148,"Warren, Atkinson and Holloway",FinTech,SMB,Germany,2024-12-17,Organic,David Munoz
CUST0149,"Shepherd, Swanson and Schmidt",HealthTech,Mid-Market,Ireland,2024-05-28,Organic,Sonia Hernandez
CUST0150,Taylor-Flowers,HealthTech,Mid-Market,Ireland,2023-02-12,Organic,Gina Davis
CUST0151,"Cortez, Boyer and Powell",HealthTech,Mid-Market,USA,2024-08-15,Referral,Jennifer Patel
CUST0152,Wallace Inc,HealthTech,Mid-Market,USA,2023-01-12,Organic,Karen Price
CUST0153,"Acosta, Trujillo and Carter",HealthTech,Mid-Market,France,2024-10-18,Organic,Jesse Briggs
CUST0154,"Keller, Smith and Obrien",E-Commerce,Mid-Market,USA,2024-12-28,Partner,Penny Jacobs
CUST0155,Wall LLC,EdTech,SMB,Ireland,2024-03-30,Outbound,Emily Maddox
CUST0156,Ortiz Group,EdTech,Mid-Market,UK,2023-08-01,Referral,James Scott
CUST0157,"Smith, Park and Anderson",Logistics,Enterprise,Germany,2023-03-18,Outbound,Elizabeth Jones
CUST0158,Ayala Group,E-Commerce,Mid-Market,USA,2023-05-12,Referral,Pamela Young
CUST0159,Reyes-Martin,EdTech,SMB,UK,2023-01-31,Partner,Christopher Huber
CUST0160,"Rhodes, Matthews and Fleming",FinTech,Mid-Market,UK,2024-11-21,Referral,Patrick Cruz
CUST0161,"Holt, Adams and Moss",SaaS,Mid-Market,USA,2023-10-26,Partner,William Owen
CUST0162,Brock LLC,Logistics,SMB,France,2024-12-14,Referral,Joshua Gamble
CUST0163,"Williams, Moran and Leach",Logistics,Mid-Market,Germany,2024-01-19,Partner,Sarah Jones
CUST0164,Smith-Meadows,EdTech,SMB,USA,2024-01-10,Referral,Tracy Mccarthy
CUST0165,Velazquez and Sons,FinTech,Enterprise,UK,2023-05-27,Partner,Christopher Brown
CUST0166,Jordan-Price,SaaS,SMB,USA,2023-11-06,Partner,Nicole Santiago
CUST0167,Webb Group,SaaS,SMB,Germany,2024-02-19,Paid Search,Ryan Hatfield
CUST0168,Carpenter Ltd,E-Commerce,SMB,Germany,2023-12-08,Referral,Charles Blankenship
CUST0169,White-Anderson,Logistics,SMB,USA,2024-02-07,Referral,Susan Lee
CUST0170,Tate-Davis,Logistics,Mid-Market,France,2023-11-13,Organic,Joan Smith
CUST0171,Johnson-Ashley,SaaS,SMB,USA,2024-12-28,Paid Search,Deanna Wallace
CUST0172,Shaw PLC,EdTech,Mid-Market,USA,2024-03-24,Partner,Kimberly Preston
CUST0173,Collins LLC,FinTech,Mid-Market,UK,2023-03-09,Partner,Alexandra Gibbs
CUST0174,Gillespie-Mendez,E-Commerce,Mid-Market,USA,2024-07-07,Referral,Ronald Douglas
CUST0175,Burns-Bradley,Logistics,SMB,UK,2024-08-27,Outbound,Diamond Becker
CUST0176,"Daniels, Riley and Simpson",EdTech,SMB,USA,2024-09-12,Referral,Anthony Martin
CUST0177,Watkins-Collins,FinTech,SMB,USA,2024-05-24,Referral,Amy Burnett
CUST0178,Kelly-Lopez,Logistics,SMB,France,2023-05-10,Paid Search,Courtney Martinez
CUST0179,"Martinez, Wiley and Munoz",EdTech,SMB,USA,2024-02-19,Outbound,Michelle Williams
CUST0180,Robertson-Jackson,Logistics,Enterprise,USA,2024-04-26,Organic,Virginia Miller
CUST0181,Wiley-Dickerson,E-Commerce,Mid-Market,UK,2023-02-25,Paid Search,Jennifer Jones
CUST0182,"Chambers, Nixon and Miles",EdTech,SMB,USA,2024-09-14,Referral,Roberta Becker
CUST0183,Shannon Group,FinTech,SMB,USA,2024-08-13,Paid Search,Debra Wang
CUST0184,"Duke, Curtis and Pennington",SaaS,Mid-Market,Ireland,2023-03-05,Organic,Russell Jordan
CUST0185,Robinson Inc,SaaS,Mid-Market,USA,2023-02-28,Referral,Sandra Wells
CUST0186,"Lam, Ramsey and Morgan",FinTech,SMB,UK,2023-04-20,Partner,Peggy Perry
CUST0187,"Carpenter, Arroyo and Johnson",FinTech,SMB,UK,2023-11-15,Organic,John Sanchez
CUST0188,Thompson-Davis,EdTech,Mid-Market,Ireland,2024-07-09,Paid Search,Brandon Bowen
CUST0189,Garcia LLC,E-Commerce,Mid-Market,Ireland,2024-07-15,Paid Search,Erika Zimmerman
CUST0190,"Munoz, Flores and Wade",SaaS,SMB,USA,2024-11-30,Outbound,Mary Kelly
CUST0191,"Maldonado, Thompson and Smith",Logistics,SMB,UK,2023-10-17,Partner,Frederick Potter PhD
CUST0192,Simmons Group,Logistics,SMB,France,2024-09-10,Referral,Andrew Campbell
CUST0193,Carroll-Shepard,FinTech,Mid-Market,USA,2023-09-27,Organic,Edward Phelps
CUST0194,"Rowland, Butler and Mora",HealthTech,Enterprise,USA,2023-04-03,Referral,Kimberly Miller
CUST0195,Nichols-Kim,HealthTech,Mid-Market,UK,2024-01-16,Outbound,Stephen Sandoval
CUST0196,Green Inc,FinTech,SMB,UK,2024-08-05,Outbound,Ian Smith
CUST0197,Wallace and Sons,FinTech,SMB,UK,2024-01-31,Referral,Timothy Gallagher
CUST0198,Ford-Villanueva,SaaS,Mid-Market,Ireland,2023-07-19,Paid Search,Mrs. Heather Pollard
CUST0199,Moore-Price,EdTech,Enterprise,USA,2023-12-28,Paid Search,Randall Becker
CUST0200,"Fisher, Heath and Miller",Logistics,SMB,UK,2024-06-13,Paid Search,David Kerr
CUST0201,Martinez-James,HealthTech,Enterprise,Ireland,2023-08-03,Paid Search,James Johnson
CUST0202,Herrera-Day,Logistics,Mid-Market,USA,2023-11-03,Outbound,Ashley Mendez
CUST0203,Smith-Fletcher,SaaS,Enterprise,Ireland,2023-12-14,Referral,Andrew Daniels
CUST0204,"Hanson, Cox and Thomas",E-Commerce,Mid-Market,USA,2023-07-03,Partner,Arthur Reed
CUST0205,Miranda-Rodriguez,Logistics,SMB,Ireland,2024-02-11,Partner,Audrey Kelley
CUST0206,"Mccoy, Webb and Sanders",Logistics,Mid-Market,UK,2024-12-21,Organic,Kimberly Finley
CUST0207,Ortega Ltd,EdTech,SMB,Germany,2023-03-16,Outbound,Kristin Pacheco
CUST0208,Jones-Torres,FinTech,Mid-Market,France,2023-11-12,Referral,Anna Johnson
CUST0209,"Davis, Nixon and Wilson",HealthTech,Mid-Market,USA,2024-06-13,Partner,Jodi Goodman
CUST0210,Norton LLC,HealthTech,Enterprise,France,2023-07-05,Partner,Bryan Beasley
CUST0211,Gardner LLC,SaaS,Mid-Market,France,2024-10-02,Partner,Joseph Meza
CUST0212,"Stevens, Jackson and Byrd",E-Commerce,SMB,UK,2023-12-20,Organic,Katie Torres
CUST0213,"Mathews, Green and Ford",E-Commerce,Enterprise,UK,2023-08-25,Partner,Nathaniel Cooley
CUST0214,Dougherty-Diaz,SaaS,SMB,Germany,2023-04-03,Outbound,Angela Carroll
CUST0215,"Mason, Taylor and Peterson",FinTech,SMB,UK,2023-09-02,Referral,Caleb Sanford
CUST0216,Mathis-Walker,SaaS,SMB,Germany,2024-12-17,Organic,Adam Hall
CUST0217,Howell-Adams,Logistics,Mid-Market,USA,2023-05-27,Organic,Alexandria Ramirez
CUST0218,Kidd-Pittman,E-Commerce,SMB,USA,2024-05-28,Partner,Rita Estrada
CUST0219,James-Smith,FinTech,Mid-Market,UK,2024-11-27,Outbound,William Butler
CUST0220,"Paul, Robinson and Contreras",E-Commerce,SMB,UK,2023-11-15,Partner,Janet Johnson
CUST0221,Boyle PLC,EdTech,SMB,USA,2023-08-14,Paid Search,Aimee Mills
CUST0222,Dunn-Young,E-Commerce,Mid-Market,USA,2023-02-10,Outbound,Brianna Newton
CUST0223,"Strickland, Little and Donovan",HealthTech,SMB,France,2024-12-07,Organic,Steven Castillo
CUST0224,Hall PLC,FinTech,SMB,USA,2024-03-19,Paid Search,Richard Fisher
CUST0225,"Figueroa, Sheppard and Jensen",EdTech,SMB,UK,2024-11-19,Referral,Antonio Newman
CUST0226,Sanders-Rice,SaaS,SMB,France,2024-03-04,Paid Search,John Barrett
CUST0227,"Cruz, Bates and Chan",HealthTech,SMB,UK,2024-06-02,Outbound,Wendy Jones
CUST0228,"Zamora, Cunningham and Thompson",HealthTech,Mid-Market,Germany,2023-04-21,Referral,Lacey Schultz
CUST0229,Moore Inc,SaaS,Mid-Market,UK,2023-11-13,Outbound,Rachael Cook
CUST0230,Melton Inc,FinTech,SMB,UK,2023-03-12,Referral,Brian Smith
CUST0231,Peters and Sons,Logistics,Mid-Market,France,2023-12-05,Partner,Laura Wood
CUST0232,"Wallace, Davis and Cunningham",SaaS,Enterprise,USA,2024-07-26,Referral,Maurice Neal
CUST0233,Rangel-Davis,Logistics,SMB,UK,2023-02-01,Referral,Raymond Williams
CUST0234,"Martinez, Richards and Bush",EdTech,Enterprise,UK,2024-01-29,Partner,Benjamin Sutton
CUST0235,Vaughn-Russell,SaaS,SMB,Ireland,2023-08-01,Partner,Joshua Bowman DDS
CUST0236,"Hicks, Moran and Jones",SaaS,Mid-Market,UK,2024-11-02,Paid Search,Michelle Mack
CUST0237,Christensen LLC,FinTech,SMB,Ireland,2023-07-09,Outbound,William Reyes
CUST0238,"Johnson, Young and Shelton",FinTech,SMB,Germany,2024-10-29,Partner,Lisa Navarro
CUST0239,"Thornton, Lang and Conley",SaaS,SMB,Ireland,2023-08-31,Paid Search,Molly Johnson
CUST0240,"Landry, Anderson and Graham",EdTech,SMB,France,2023-07-22,Organic,Alicia Brown
CUST0241,"Downs, Gomez and Wiggins",E-Commerce,SMB,UK,2023-07-26,Partner,Victor Nunez
CUST0242,Carter-Turner,E-Commerce,Mid-Market,Germany,2024-02-12,Outbound,Matthew Lucero
CUST0243,"Cunningham, Garcia and Evans",E-Commerce,SMB,USA,2024-12-26,Partner,Charles Jones
CUST0244,"Thomas, Mills and Guerra",FinTech,Enterprise,USA,2023-07-20,Paid Search,Barbara Lynn
CUST0245,Clark Group,E-Commerce,Mid-Market,France,2023-10-02,Organic,Hannah Kerr
CUST0246,Gamble Inc,FinTech,SMB,Germany,2023-06-18,Organic,Kimberly Smith
CUST0247,Jimenez-Oliver,EdTech,SMB,UK,2023-09-08,Organic,Dr. Jackie Ferrell
CUST0248,Nielsen Ltd,FinTech,SMB,UK,2023-10-21,Referral,Calvin Walters
CUST0249,Romero and Sons,HealthTech,SMB,USA,2024-06-29,Outbound,Anna Suarez
CUST0250,Watkins and Sons,HealthTech,Mid-Market,Ireland,2023-10-27,Organic,Belinda Hahn
CUST0251,Jones Group,SaaS,Mid-Market,USA,2023-07-03,Paid Search,Christine White
CUST0252,David PLC,Logistics,SMB,Ireland,2023-07-25,Partner,Tiffany Singh
CUST0253,"Cunningham, Gibson and Deleon",SaaS,Mid-Market,UK,2023-12-13,Organic,Tracy Allen
CUST0254,Miller-Black,SaaS,Enterprise,France,2024-06-27,Outbound,Gary Rodriguez
CUST0255,Santos and Sons,SaaS,SMB,France,2023-11-11,Outbound,Gary Jones
CUST0256,Serrano PLC,SaaS,SMB,USA,2023-04-25,Partner,Amy Mcconnell
CUST0257,"Wright, Miles and Sanchez",HealthTech,Mid-Market,France,2024-04-26,Partner,Richard Johnson
CUST0258,"Gates, Holmes and Guerra",SaaS,SMB,USA,2023-11-02,Outbound,Cathy Herman
CUST0259,"Nguyen, Ryan and Avila",EdTech,SMB,UK,2023-02-24,Partner,Anthony Baxter
CUST0260,Hebert-Washington,Logistics,SMB,Germany,2023-02-09,Organic,John Ramos
CUST0261,"Meyers, Nguyen and Morris",EdTech,Enterprise,USA,2024-02-25,Referral,Brenda David
CUST0262,Gonzalez Inc,HealthTech,Mid-Market,USA,2024-05-27,Referral,Michelle Kelley
CUST0263,Holland Ltd,HealthTech,SMB,USA,2024-02-08,Paid Search,Laura Morris
CUST0264,"Carlson, Higgins and Mcdonald",EdTech,Mid-Market,USA,2023-02-07,Referral,Annette Stone
CUST0265,Ellis LLC,FinTech,Mid-Market,USA,2023-04-09,Paid Search,David Hart
CUST0266,"Huffman, Lewis and Williams",E-Commerce,SMB,UK,2023-07-01,Partner,Heather Diaz
CUST0267,Rivera Inc,HealthTech,SMB,Germany,2024-03-23,Referral,Stephanie Richards
CUST0268,King-Young,E-Commerce,Mid-Market,Germany,2024-07-10,Referral,Stanley Miller
CUST0269,Ramirez-Cohen,SaaS,Enterprise,France,2024-05-23,Referral,David Mcconnell
CUST0270,Stein Ltd,E-Commerce,Mid-Market,Germany,2024-11-19,Partner,Kurt Herrera
CUST0271,Smith-Stokes,HealthTech,Enterprise,Germany,2023-10-11,Paid Search,Matthew Hobbs
CUST0272,Obrien-Brennan,EdTech,Enterprise,USA,2024-01-04,Partner,Marc Bell
